Temp,Weather,Wind,Direction,Humidity,Barometer,Visibility
33.0,Scattered clouds.,15,Wind blowing from 240° West-southwest to East-northeast,63,1002,7
33.0,Scattered clouds.,19,Wind blowing from 260° West to East,63,1002,8
33.0,Scattered clouds.,22,Wind blowing from 270° West to East,63,1002,8
34.0,Scattered clouds.,26,Wind blowing from 260° West to East,59,1002,8
34.0,Scattered clouds.,26,Wind blowing from 270° West to East,59,1002,8
34.0,Scattered clouds.,26,Wind blowing from 250° West-southwest to East-northeast,59,1003,8
34.0,Scattered clouds.,26,Wind blowing from 240° West-southwest to East-northeast,59,1003,6
33.0,Broken clouds.,28,Wind blowing from 240° West-southwest to East-northeast,59,1003,6
33.0,Broken clouds.,28,Wind blowing from 240° West-southwest to East-northeast,63,1004,6
33.0,Broken clouds.,20,Wind blowing from 260° West to East,63,1005,6
32.0,Broken clouds.,22,Wind blowing from 250° West-southwest to East-northeast,67,1005,6
32.0,Broken clouds.,22,Wind blowing from 260° West to East,67,1005,6
31.0,Broken clouds.,24,Wind blowing from 250° West-southwest to East-northeast,66,1005,5
31.0,Broken clouds.,19,Wind blowing from 240° West-southwest to East-northeast,66,1005,5
30.0,Broken clouds.,19,Wind blowing from 240° West-southwest to East-northeast,70,1005,5
29.0,Broken clouds.,17,Wind blowing from 240° West-southwest to East-northeast,74,1005,5
29.0,Broken clouds.,15,Wind blowing from 250° West-southwest to East-northeast,74,1004,5
29.0,Broken clouds.,13,Wind blowing from 240° West-southwest to East-northeast,74,1004,5
29.0,Broken clouds.,13,Wind blowing from 240° West-southwest to East-northeast,70,1004,5
30.0,Partly cloudy.,15,Wind blowing from 260° West to East,66,1003,5
30.0,Partly cloudy.,19,Wind blowing from 250° West-southwest to East-northeast,66,1003,5
30.0,Partly cloudy.,19,Wind blowing from 250° West-southwest to East-northeast,66,1002,5
30.0,Passing clouds.,19,Wind blowing from 240° West-southwest to East-northeast,66,1003,5
30.0,Partly cloudy.,19,Wind blowing from 260° West to East,66,1003,5
31.0,Partly cloudy.,19,Wind blowing from 250° West-southwest to East-northeast,62,1003,5
32.0,Partly cloudy.,19,Wind blowing from 250° West-southwest to East-northeast,59,1003,5
33.0,Partly cloudy.,19,Wind blowing from 260° West to East,59,1003,5
33.0,Partly cloudy.,17,Wind blowing from 250° West-southwest to East-northeast,59,1002,5
33.0,Partly cloudy.,15,Wind blowing from 230° Southwest to Northeast,59,1001,5
33.0,Partly cloudy.,11,Wind blowing from 250° West-southwest to East-northeast,59,1001,5
33.0,Partly cloudy.,19,Wind blowing from 250° West-southwest to East-northeast,59,1001,5
33.0,Broken clouds.,20,Wind blowing from 210° South-southwest to North-northeast,59,1000,5
